City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,puerto rico,-26.796,-55.024,28.45,63,88,0.75,AR,2024-04-08
79,zouerate,22.7187,-12.4521,28.31,12,0,9.31,MR,2024-04-08
80,kolwezi,-10.7148,25.4667,21.05,90,100,0.83,CD,2024-04-08
81,namdrik,5.5994,168.1028,28.01,83,99,9.77,MH,2024-04-08
82,laghouat,33.8,2.8651,32.05,7,100,8.65,DZ,2024-04-08
83,badger,64.8,-147.5333,-3.05,84,75,2.57,US,2024-04-08
84,balkanabat,39.5108,54.3671,20.84,47,100,6.65,TM,2024-04-08
85,port saint john's,-31.6229,29.5448,21.59,90,100,2.0,ZA,2024-04-08
86,acapulco de juarez,16.8634,-99.8901,25.9,78,0,2.57,MX,2024-04-08
87,saipan,15.1355,145.701,27.39,83,40,6.17,MP,2024-04-08
88,buston,40.2342,69.6948,18.1,27,100,1.0,TJ,2024-04-08
89,lebu,-37.6167,-73.65,16.85,80,94,1.13,CL,2024-04-08
90,puerto ayora,-0.7393,-90.3518,29.98,93,38,2.68,EC,2024-04-08
91,esperanza,19.5847,-70.9849,28.32,79,75,2.24,DO,2024-04-08
92,at-bashi,41.1702,75.8106,8.58,30,100,1.36,KG,2024-04-08
93,belyy yar,53.6039,91.3903,1.94,69,8,1.0,RU,2024-04-08
94,simanggang,1.2472,111.4528,24.47,98,100,0.66,MY,2024-04-08
95,afaahiti,-17.75,-149.2833,24.93,85,100,4.71,PF,2024-04-08
96,aras-asan,8.8908,126.3033,25.47,84,100,1.19,PH,2024-04-08
97,la libertad,-2.2333,-80.9,27.81,74,0,2.06,EC,2024-04-08
98,naze,28.3667,129.4833,19.51,93,93,4.34,JP,2024-04-08
99,port augusta,-32.5,137.7667,15.83,74,21,9.22,AU,2024-04-08
100,alta,69.9689,23.2717,-2.41,74,75,4.63,NO,2024-04-08
101,arraial do cabo,-22.9661,-42.0278,27.92,69,0,7.72,BR,2024-04-08
102,hpa-an,16.8906,97.6333,28.43,70,34,0.39,MM,2024-04-08
103,barranca,-10.75,-77.7667,23.53,75,74,2.98,PE,2024-04-08
104,avarua,-21.2078,-159.775,27.03,83,40,3.6,CK,2024-04-08
105,remire-montjoly,4.9167,-52.2667,31.02,66,75,5.66,GF,2024-04-08
106,vorgashor,67.5833,63.95,-12.89,93,98,5.24,RU,2024-04-08
107,labrador city,52.9463,-66.9114,0.66,47,100,1.34,CA,2024-04-08
108,nagqu,31.5,92.0,2.51,18,100,5.56,CN,2024-04-08
109,navirai,-23.065,-54.1906,31.25,52,99,2.13,BR,2024-04-08
110,nova vicosa,-17.8919,-39.3719,28.88,63,80,3.69,BR,2024-04-08
111,qandala,11.472,49.8728,29.37,62,77,1.17,SO,2024-04-08
112,hailey,43.5196,-114.3153,1.0,63,0,4.63,US,2024-04-08
113,college,64.8569,-147.8028,-3.01,83,75,2.57,US,2024-04-08
114,salgueiro,-8.0742,-39.1192,31.72,46,65,5.36,BR,2024-04-08
115,vangaindrano,-23.35,47.6,23.43,91,100,3.91,MG,2024-04-08
116,milan,45.4643,9.1895,26.58,48,0,3.09,IT,2024-04-08
117,vallenar,-28.5708,-70.7581,22.19,54,0,1.61,CL,2024-04-08
118,nova sintra,14.8667,-24.7167,22.91,76,2,11.5,CV,2024-04-08
119,wafangdian,39.6183,122.0081,6.18,22,0,4.52,CN,2024-04-08
120,leer,53.2316,7.461,18.29,82,100,2.67,DE,2024-04-08
121,faya-largeau,17.9257,19.1043,36.51,6,72,5.74,TD,2024-04-08
122,bojano,41.4857,14.4729,25.56,48,100,2.08,IT,2024-04-08
123,hithadhoo,-0.6,73.0833,29.72,68,98,1.68,MV,2024-04-08
124,ceeldheer,3.8488,47.1806,29.82,68,100,6.25,SO,2024-04-08
125,pandan,14.0453,124.1694,25.61,90,85,2.96,PH,2024-04-08
126,cidreira,-30.1811,-50.2056,22.54,85,98,1.83,BR,2024-04-08
127,bullhead city,35.1478,-114.5683,17.14,32,40,11.83,US,2024-04-08
